;SE/CO;mlt;259;261;262;263;265;266;267;278;279;281;282;283;285;287;289;291;294;295;296;313;243;244;245;246;247;248;249;251;252;Vazão posto 243;Vazão posto 244;Vazão posto 245;Vazão posto 246;Vazão posto 247;Vazão posto 248;Vazão posto 249;Vazão posto 251;Vazão posto 252;Vazão posto 259;Vazão posto 261;Vazão posto 262;Vazão posto 263;Vazão posto 265;Vazão posto 266;Vazão posto 267;Vazão posto 278;Vazão posto 279;Vazão posto 281;Vazão posto 282;Vazão posto 283;Vazão posto 285;Vazão posto 287;Vazão posto 289;Vazão posto 291;Vazão posto 294;Vazão posto 295;Vazão posto 296;Vazão posto 313
279;-0.5606230200756375;-0.8194413439160753;0.8934414003713811;0.7337428525574219;0.7525039267296715;0.6988706131856146;0.5610543378203512;0.29264327612054775;0.9786613738439979;0.9976620844668843;1.0;0.7731229098673499;0.7502546518507579;0.8167202249128268;0.4543655129985704;0.8682543171446391;0.7573706037949672;-0.37410960247563213;0.7439147217593616;0.8761248336443049;0.6526606450043956;0.7853954579360787;0.7853954579360787;0.9189566740915833;0.7954235915571648;0.7954235915571648;-0.3255692818666218;0.8790204437814537;0.8710560232754289;0.8589637814576664;0.9479796878850935;-0.00925609803786948;0.3030492999380332;0.31060859875280755;0.2996437878924196;0.5000500330975088;0.5035282017697009;-0.05019405165337411;0.38752941992374046;0.6561965860314342;0.6561965860314342;0.5101048545377075;0.37260093739516004;0.29396259810195113;0.5153323827857538;0.18112771137543648;0.3662118467512776;0.27067364742244593;0.607635945045032;0.6219857078387563;0.4115190969033069;0.35869476549813917;0.7838898918389023;0.792443798886309;0.41424958480396223;0.8239788048039695;0.3871975969697083;0.5054386514715823;0.5452166875206474;0.4551462516043256
281;-0.8581130029964235;-0.4837081105294401;0.8110853728265963;0.8665171729192881;0.8601159160260075;0.8404854555799319;0.7630919235719804;0.5980945647746899;0.8354855897561706;0.7871577955283279;0.7731229098673499;1.0;0.6716413568808307;0.6299293277809611;0.7542394466170127;0.7906078462918946;0.47485661011823427;-0.41767568179828807;0.6180512412178135;0.7770384113402643;0.9656853511500282;0.35274592704953295;0.35274592704953295;0.6993946835283338;0.4337985879490631;0.4337985879490631;-0.6226348212083153;0.7744594856721218;0.7915807759776334;0.8199612515617455;0.7374586985493058;0.4773553020349768;0.770812727716694;0.7712853529136718;0.7688065313544034;0.8697716598534306;0.8720900846412091;0.38544264531765715;0.7935509316756296;0.8860845189184389;0.8860845189184389;0.8746571155340606;0.728460030851972;0.6529752840986679;0.8279198179983497;0.6481300998760539;0.7226587923586179;0.7358765843724235;0.920084206104554;0.8918910986788401;0.7758968615820236;0.6306771162936188;0.9479263281815337;0.9473725723496165;0.7761934095590634;0.8028824588188889;0.7798531460432496;0.8572721268430064;0.8593917359107105;0.8530387418187617
282;-0.6637246482589559;-0.4729203647216082;0.862867011478924;0.8312958544104224;0.8389313213653479;0.8164885650401668;0.7670361812373847;0.5205442933984054;0.7828884516883466;0.7308724382288001;0.7502546518507579;0.6716413568808307;1.0;0.9453957131383917;0.65794149174439;0.8835161010190585;0.9355163139889904;0.08554676421190362;0.8201998482330908;0.8781451419641723;0.598129938349345;0.744797601506019;0.744797601506019;0.8443618697797542;0.7013086643348948;0.7013086643348948;-0.053873770069075275;0.8739593316974842;0.8735907403564901;0.8795236132226472;0.7836039365609212;0.09548855450704467;0.4077043522609066;0.4155199747203602;0.4139080366128035;0.5782312444133424;0.5787518668255579;0.05837168232619756;0.5099381190660982;0.7037423275773919;0.7037423275773919;0.5825067774015806;0.489937906155333;0.3914063190840946;0.5518115717278023;0.3073398016852802;0.5304993404775747;0.3908005818444746;0.6702622914952931;0.6647679010123311;0.5422766567656003;0.4495653463608526;0.78770383713842;0.7912983823599173;0.5413834047160284;0.8032661280483759;0.48204167367816925;0.6205806781211829;0.6739673144031008;0.5834765917489528
283;-0.5300641451231246;-0.6544347123881311;0.919333662297795;0.8044569176675954;0.8196256237139395;0.7892906548029794;0.7225009531275707;0.375812962490251;0.836800202860927;0.8025436554780613;0.8167202249128268;0.6299293277809611;0.9453957131383917;1.0;0.6116743354285362;0.9419765538959981;0.910193878719394;0.05476318317664328;0.8914385049267515;0.948019771953675;0.5265395596187437;0.8183152814008993;0.8183152814008993;0.9414695884208969;0.8457406286312907;0.8457406286312907;-0.004486341871588101;0.9486612181824868;0.9390625932824983;0.9241043836970264;0.8610285217263098;-0.06607771868780138;0.23852018546080578;0.24814657518746852;0.2470263727037338;0.436103792487287;0.43769948365423383;-0.10505266924433022;0.3516831219460881;0.6179951247513102;0.6179951247513102;0.4436441680279733;0.39152208340326783;0.2905913411955433;0.45856984464469946;0.13364786677057824;0.394385851302848;0.24851800803554633;0.5883191705580614;0.5800531496019525;0.3856027013699456;0.3314116653492259;0.7421671420054021;0.7497991788120706;0.384900541956149;0.8097617888671769;0.32524613639079375;0.49836374768630437;0.5482877643128936;0.45283106293669856
285;-0.7304987417311323;-0.13246626627853844;0.6949829226466213;0.9040735705698042;0.8921593505366161;0.9148727727337175;0.8906826312209281;0.7841673022979642;0.5371857428021941;0.4538502785190543;0.4543655129985704;0.7542394466170127;0.65794149174439;0.6116743354285362;1.0;0.7590700599379447;0.41855546316123055;0.1572579419630653;0.7500210410208457;0.7358542014672879;0.8287473915797186;0.15148967882271344;0.15148967882271344;0.5930536565653899;0.43181831769273094;0.43181831769273094;-0.3229789398944726;0.7270250297886334;0.7543154803253507;0.7884810350927297;0.6056170005045711;0.5623504558136312;0.763326991853207;0.7699812763613423;0.7740295246366491;0.7867415288880343;0.7859744299659296;0.499970747965235;0.7149602384134381;0.7096700189274308;0.7096700189274308;0.7848940421663805;0.6368995133103439;0.6137501664680497;0.6667769634716464;0.6938552782425447;0.5815876879602524;0.7374050914129883;0.7659014335042352;0.7248169848397092;0.7090903301018393;0.584758820729231;0.795279812782575;0.7912113329405682;0.7170171084174797;0.5249497302546978;0.7348619329517381;0.8164807617627323;0.8266894394681241;0.8105045750530305
287;-0.6335165739640772;-0.6606357772541858;0.9753306709246434;0.9285535676670897;0.9391480007091538;0.9149111517982716;0.8391769129287602;0.5105491138331678;0.9038248130252639;0.8659488662346143;0.8682543171446391;0.7906078462918946;0.8835161010190585;0.9419765538959981;0.7590700599379447;1.0;0.7925289104656641;-0.07412061787234411;0.9404623803910857;0.9986783586338297;0.7266064737492797;0.7078464985037369;0.7078464985037369;0.9568450779759482;0.8310035872811927;0.8310035872811927;-0.22875834856712093;0.9979567182737021;0.9996135724741452;0.9975046530985195;0.9353041354587301;0.14687919911293923;0.43449010423527723;0.4436730719490232;0.43934358072831686;0.6123664740256786;0.6142578325012382;0.07994630550215574;0.49858748933998237;0.7289195868096705;0.7289195868096705;0.618945442928801;0.5342344088065364;0.4423157264701735;0.5909936688615867;0.32976711114933416;0.4994714749963785;0.4275422711199849;0.7189446408856546;0.7086803626214121;0.5184466403108738;0.42566051126555493;0.8686412253193184;0.8743460123583003;0.5196654129570892;0.8236035919253873;0.5092106655980562;0.6514280754829248;0.6920254263896788;0.6171157296290098
289;-0.47104531852526815;-0.5358964668378102;0.7858194622078075;0.6630638773909978;0.679980325213538;0.6501934102437719;0.5781925125401487;0.3289366630333677;0.7403401853541428;0.7278206661716687;0.7573706037949672;0.47485661011823427;0.9355163139889904;0.910193878719394;0.41855546316123055;0.7925289104656641;1.0;0.12167626881408863;0.7656574517389731;0.7984976830916135;0.3591105285529629;0.892810625023627;0.892810625023627;0.8345064491880994;0.7924494446176362;0.7924494446176362;0.10647970368394709;0.7944899291777772;0.7819501279603964;0.7699953616337556;0.7765191298188214;-0.11746709866387982;0.1503227687443573;0.15995420050849035;0.15347816903151884;0.34279603217088767;0.34364572089318474;-0.11996786625044191;0.25997962214635373;0.5087020362397793;0.5087020362397793;0.3475167484379596;0.25067881250759416;0.17851380262828742;0.33453911955730115;0.07000237896958689;0.2839421764654056;0.13645786573760063;0.4493278540094765;0.46000388992001295;0.3172619793608371;0.28204157846588823;0.6136084702940695;0.6203191617892336;0.31594340387475933;0.7153247998675547;0.25552318794111767;0.3876286186533433;0.456244870300272;0.3252819469659577
291;0.20616535435123498;0.3658877153108139;-0.12234667180760295;-0.05556561602830023;-0.0544156431229164;-0.023080539949215436;0.007802116209574479;0.033292169610890626;-0.39136084868616333;-0.4184407217351105;-0.37410960247563213;-0.41767568179828807;0.08554676421190362;0.05476318317664328;0.1572579419630653;-0.07412061787234411;0.12167626881408863;1.0;0.08258675313554814;-0.08416626058087269;-0.3663493361620974;-0.0887797945677524;-0.0887797945677524;-0.11510986641197749;0.033769925714254294;0.033769925714254294;0.7055329985731086;-0.09151355040953321;-0.08534357304764267;-0.08341079174495036;-0.1623801147152428;-0.11298233044200282;-0.24963342308829603;-0.24043333534896533;-0.22605427098969802;-0.2955851858814642;-0.29990810491420195;-0.04378829629322009;-0.32578691986072744;-0.3333469396398913;-0.3333469396398913;-0.3054648589138397;-0.3111374705952876;-0.19132771269374416;-0.3564702282565569;-0.16811618108302878;-0.4255640016292589;-0.16416834181486037;-0.2772352756981212;-0.3070971772238526;-0.2556517427427281;-0.15856804978745279;-0.29224139814825245;-0.29347755285872673;-0.25272358736837713;-0.2890081191599247;-0.2530252980188413;-0.2012057752224541;-0.1911860720011787;-0.24606985465021916
294;-0.5297513996653046;-0.5007478792870398;0.8622488781976523;0.8896203418486607;0.9025854979330802;0.897781063632006;0.8591704577379848;0.5916664519255184;0.7870465140695105;0.740496697600742;0.7439147217593616;0.6180512412178135;0.8201998482330908;0.8914385049267515;0.7500210410208457;0.9404623803910857;0.7656574517389731;0.08258675313554814;1.0;0.9410000827426825;0.5986184625263099;0.6793813079569714;0.6793813079569714;0.8869633672221772;0.8587098363078285;0.8587098363078285;-0.17465057678052637;0.9364738337025874;0.9365525320252989;0.9313008462163352;0.8826793978079824;0.12080057221214534;0.36541510876058647;0.3790123774116066;0.36999521717707917;0.5280970409783521;0.5282645700052384;0.08048815263125857;0.4351770087539724;0.6337126176145269;0.6337126176145269;0.53039389986846;0.4757781422042575;0.4291959017517323;0.5081673067048696;0.29288156838451246;0.41807211274345896;0.39906017388982057;0.6042661333004801;0.6109792459065477;0.4650035340704577;0.43275874333268355;0.7637493603908241;0.767751438519528;0.46872352511208715;0.6941425443741362;0.46065367589746364;0.5754881450650815;0.6392955550659066;0.5499131653358418
295;-0.6117575049278692;-0.6838782921679476;0.9761536195936776;0.9127213397082291;0.9242716605568849;0.8995652157884706;0.82098429054546;0.48058798106318024;0.907125474513407;0.8737105931793924;0.8761248336443049;0.7770384113402643;0.8781451419641723;0.948019771953675;0.7358542014672879;0.9986783586338297;0.7984976830916135;-0.08416626058087269;0.9410000827426825;1.0;0.7044155016288562;0.7276000443173916;0.7276000443173916;0.9677153003429326;0.8521721518667225;0.8521721518667225;-0.214746302819445;0.9997113586288823;0.9989441601467633;0.992937957788683;0.9380758721795642;0.11169744025321124;0.40224433006602717;0.4113950867029781;0.40686928096259967;0.5834886092557099;0.5855464113446339;0.046470988760143064;0.47320771102289444;0.710638361015197;0.710638361015197;0.59049084738138;0.5130403577250354;0.4213455600897831;0.575294310461929;0.2947865258924665;0.4771932820262552;0.3995837923198442;0.6996466910953661;0.6886959644547068;0.49161607646442335;0.4099916472941477;0.8538119092734814;0.8600529555301563;0.4927360452307354;0.8218512901870934;0.4777405478958075;0.6239644018484822;0.665805886422665;0.5883641634616359
296;-0.8747584491511489;-0.2953189776420467;0.7120939521665498;0.8727630614347505;0.8619806753265544;0.8559582393710321;0.8041177470676678;0.7326881157619181;0.7352256283481078;0.6711573088871543;0.6526606450043956;0.9656853511500282;0.598129938349345;0.5265395596187437;0.8287473915797186;0.7266064737492797;0.3591105285529629;-0.3663493361620974;0.5986184625263099;0.7044155016288562;1.0;0.18955731869046083;0.18955731869046083;0.5850739771654601;0.31908562518403666;0.31908562518403666;-0.6872711194634354;0.699364663828581;0.7252656093890901;0.7664179511151803;0.6555444908851416;0.6106039515307559;0.8811105081957309;0.8827353877970358;0.8792252817487202;0.9385078843740259;0.9396086550649388;0.5262733403280981;0.8788402190137868;0.8956753994158171;0.8956753994158171;0.9407362704058241;0.7700979307409029;0.7084914046313985;0.8493653218337032;0.7762396683944802;0.7789985161803132;0.8265515675386814;0.9128818588641622;0.9004812095141772;0.8585110493271211;0.6938137847405274;0.9251327383056545;0.9213489153567685;0.8627374948829021;0.7010333154969656;0.8743583868848053;0.9101699167421229;0.9101927987240591;0.921298492946784
313;-0.28610649230291263;-0.6892120261504738;0.7058919737226605;0.4921625779924163;0.5177335634648904;0.4707028377144334;0.3922746805093162;0.10341097238642281;0.7553994412985655;0.767559120648262;0.7853954579360787;0.35274592704953295;0.744797601506019;0.8183152814008993;0.15148967882271344;0.7078464985037369;0.892810625023627;-0.0887797945677524;0.6793813079569714;0.7276000443173916;0.18955731869046083;1.0;1.0;0.8053695909855523;0.8192440181497517;0.8192440181497517;0.0399830699643787;0.7285312842018729;0.7041290146996375;0.6712542540610134;0.7767387076880423;-0.2267041862951477;-0.06379493503080393;-0.05436615268892809;-0.06365491927934176;0.15857863017583723;0.16159966289248984;-0.21851887559917385;0.005624789459788615;0.37187086556993815;0.37187086556993815;0.16867990951014245;0.042192786666104445;-0.05254550212013702;0.11140472218645193;-0.10217951191585938;0.09544350444263025;-0.12374843801299511;0.3038481731184087;0.32983542777925917;0.10920951355851931;0.02203095924676353;0.4997700835061075;0.5114409197751473;0.10314784098667686;0.6996623356571846;0.08219597352926232;0.21681168799091277;0.26553750255850445;0.1261178160536762
243;-0.28610649230291263;-0.6892120261504738;0.7058919737226605;0.4921625779924163;0.5177335634648904;0.4707028377144334;0.3922746805093162;0.10341097238642281;0.7553994412985655;0.767559120648262;0.7853954579360787;0.35274592704953295;0.744797601506019;0.8183152814008993;0.15148967882271344;0.7078464985037369;0.892810625023627;-0.0887797945677524;0.6793813079569714;0.7276000443173916;0.18955731869046083;1.0;1.0;0.8053695909855523;0.8192440181497517;0.8192440181497517;0.0399830699643787;0.7285312842018729;0.7041290146996375;0.6712542540610134;0.7767387076880423;-0.2267041862951477;-0.06379493503080393;-0.05436615268892809;-0.06365491927934176;0.15857863017583723;0.16159966289248984;-0.21851887559917385;0.005624789459788615;0.37187086556993815;0.37187086556993815;0.16867990951014245;0.042192786666104445;-0.05254550212013702;0.11140472218645193;-0.10217951191585938;0.09544350444263025;-0.12374843801299511;0.3038481731184087;0.32983542777925917;0.10920951355851931;0.02203095924676353;0.4997700835061075;0.5114409197751473;0.10314784098667686;0.6996623356571846;0.08219597352926232;0.21681168799091277;0.26553750255850445;0.1261178160536762
244;-0.47874681743445163;-0.8013451354729856;0.964332764121117;0.8010635695003998;0.8171804068238503;0.7846673556471805;0.6683902773117891;0.2956791386445491;0.9026072604317994;0.9086814844388166;0.9189566740915833;0.6993946835283338;0.8443618697797542;0.9414695884208969;0.5930536565653899;0.9568450779759482;0.8345064491880994;-0.11510986641197749;0.8869633672221772;0.9677153003429326;0.5850739771654601;0.8053695909855523;0.8053695909855523;1.0;0.928535350808571;0.928535350808571;-0.09544437326797035;0.9694607011502202;0.9594860828536282;0.9379378696854808;0.9438856986483071;-0.06872627347213338;0.23547340281436524;0.24378697642030164;0.23782637047238864;0.42306028399351026;0.4260218473465043;-0.12353337622641727;0.32377191240696873;0.5737433074962225;0.5737433074962225;0.43199466043552576;0.3685844622924051;0.27955625835349857;0.46502090688728676;0.10971839217026957;0.32381992755471856;0.22879831460555924;0.5566173988026095;0.5405835845970686;0.3254419684700762;0.2983369946163317;0.7486488526784777;0.7575407523163785;0.32852646199869956;0.7596036040054811;0.2980662613100016;0.45836765000049884;0.5085134506928429;0.41119426944792614
