;SE/CO;mlt;129;130;134;135;141;144;145;148;149;154;160;161;183;196;197;198;199;201;203;205;206;207;209;211;225;227;228;229;230;237;238;239;240;241;122;123;125;Vazão posto 122;Vazão posto 123;Vazão posto 125;Vazão posto 129;Vazão posto 130;Vazão posto 134;Vazão posto 135;Vazão posto 141;Vazão posto 144;Vazão posto 145;Vazão posto 148;Vazão posto 149;Vazão posto 154;Vazão posto 160;Vazão posto 161;Vazão posto 183;Vazão posto 196;Vazão posto 197;Vazão posto 198;Vazão posto 199;Vazão posto 201;Vazão posto 203;Vazão posto 205;Vazão posto 206;Vazão posto 207;Vazão posto 209;Vazão posto 211;Vazão posto 225;Vazão posto 227;Vazão posto 228;Vazão posto 229;Vazão posto 230;Vazão posto 237;Vazão posto 238;Vazão posto 239;Vazão posto 240;Vazão posto 241
149;-0.7967030788475098;-0.4271194912007749;0.9384374963087523;0.9435277371165838;0.9397970458253863;0.6671010084156587;0.9012463080199329;0.9738487376442941;0.9883828390338557;0.9956375031760575;1.0;0.8619526493968235;0.8253357805295286;0.9357712954512519;0.8417426293405577;0.9198588109303767;0.8810898718035308;0.8651133681107435;;0.7985504637063187;0.6998147450988874;0.71816206712622;0.8984682023097795;0.944900717828302;0.8637306526783606;0.9333546362987297;0.7838202590432424;0.896453125552368;0.7428283123875011;0.7677542797958827;0.83905592576569;0.9080496057572796;-0.016271132986269678;-0.1087789205388056;0.3257165801268676;-0.5853741752240624;-0.6833047386307161;0.9369151305730508;0.15685111478652633;0.6845830723888999;0.7220966951992347;0.750341890988562;0.7872551421300827;0.7845652533956716;0.6284931553528684;0.6846416010827991;0.7015268062984849;0.7201739302480695;0.8521126724481826;0.7161662051563114;0.6589700495450265;0.8033391701589659;0.5043627472681319;0.330708798426311;0.7015506562899111;0.6748525387566321;0.7505406281242079;0.7596755852726925;0.7844246685023479;0.8632891252432924;0.8653294774435663;0.7746828579936356;0.6184433463225947;0.621261192273103;0.8032703251079374;0.6973376712525832;0.8757266173957348;0.8850732337930254;0.867555814330862;0.8696633299011481;0.8690846282543672;0.44439915427418825;0.4541354682755536;0.4624815430679774;0.4412412518979227;0.7615431841563676
154;-0.8837704964220149;-0.010233082890620741;0.8798690740281564;0.6712812869133777;0.6601944269109584;0.23295173727358737;0.5942958190901885;0.9184487203372815;0.9020926834505054;0.880398564832047;0.8619526493968235;1.0;0.6195099884123385;0.7977331177995046;0.5812107301447582;0.9246092849797765;0.7169986543863799;0.6350090720158851;;0.9067439831399119;0.42981069036403274;0.4532024780360137;0.8542912851822764;0.8872687585450995;0.628195450071901;0.6808750370805099;0.7582915359002321;0.9255712191761496;0.734219271189166;0.9648903313400138;0.6162692110086119;0.9471343347290186;-0.4718413696103685;-0.48295697305681984;-0.15756241913900293;-0.6244114554082358;-0.5825010543851863;0.651549625713791;-0.01969272191534949;0.8340716474346641;0.8629266486018794;0.8762369515681458;0.8758449908354831;0.8734047872118422;0.7302668763219246;0.9496773395998853;0.7941010024274765;0.8008662191707715;0.9045026144205928;0.7998001982402005;0.7929346367525895;0.9453044226749912;0.7813256604429982;0.65234247026247;0.7658871131939086;0.7267807898073901;0.9072411269526942;0.8379843893465883;0.8734977239162318;0.8115171639752553;0.8018768082696967;0.897935585967206;0.9055365259029126;0.906551060864612;0.9155079527709163;0.9170744197088144;0.9316795578321877;0.8775773944513348;0.8692998320325945;0.8262278468727822;0.824015524549543;0.7472701045038218;0.747286577013173;0.7453191966091288;0.7275088143945803;0.9454754812022144
160;-0.6747377465988809;-0.4942219309638409;0.7620107005675004;0.8641200139425617;0.8619019131972807;0.6947360163155073;0.8537559891837789;0.7261295434835051;0.7630114949178046;0.7870251064259879;0.8253357805295286;0.6195099884123385;1.0;0.8316403482480331;0.8383772558317963;0.7356319804698874;0.7538846742852324;0.7850256306935888;;0.6699010127047248;0.7820220981880883;0.7703779598238584;0.7542702657429913;0.7573395930751557;0.7915020741381443;0.8618953565129022;0.8325940572795092;0.7176860961355649;0.6798560237978788;0.49962633152668257;0.7664200163625182;0.7148938672491046;0.21704124306388825;0.17708817362641233;0.49344379785384085;-0.27940716439385593;-0.3924992858224225;0.8681256463454521;0.25103761867655616;0.4335195890191571;0.4255897390705377;0.44597018513558917;0.4900722876979402;0.49012912319763663;0.4176606018153284;0.4753093789116442;0.4885974940834987;0.5271047812806351;0.6636395034096056;0.5184180350452846;0.4308900011119089;0.516942786712768;0.1521845436930521;0.06456441322651937;0.4628803658974204;0.5288296005934331;0.4722224871994543;0.47440409189159605;0.49018880099723566;0.641450257526839;0.64261932485473;0.6289590878052855;0.48111274695216477;0.4844680028764944;0.6363493993989615;0.4411350500213296;0.6199046204198907;0.6548232121719919;0.6375234722491042;0.6555991008873007;0.6551822614619703;0.19637849928881598;0.20742974256912972;0.22133832324229188;0.21327393061148925;0.5625224168652632
161;-0.824000253149361;-0.5631834488934904;0.8987611619366412;0.9314563018644408;0.9157195923320619;0.7072675128002771;0.9229664399058123;0.8636990919253321;0.8944826136233658;0.9115251721411335;0.9357712954512519;0.7977331177995046;0.8316403482480331;1.0;0.9453981138208656;0.856634445001718;0.9572817065955797;0.9578119147335147;;0.7903201322333444;0.864853634954619;0.8812476935472757;0.9501702538529484;0.9551852462235514;0.9607779427248472;0.9085005061802293;0.7644543270000664;0.8118861270431831;0.7171133369238114;0.7009928266268708;0.945361453052952;0.8843296688819159;0.04510578134482977;-0.06712146803676751;0.38118040810850984;-0.6683796972198067;-0.7167094231064921;0.9270268385485251;-0.002966401871576088;0.5946536371424908;0.6510014878365541;0.6887224433142135;0.7432573492204334;0.7440028601936566;0.5692950361134781;0.6064798764913137;0.6717788485733707;0.7014017500319885;0.8855797222140089;0.6953723145601278;0.6679447518693626;0.7395761884064036;0.4279977066479648;0.2779423920639689;0.66434816017735;0.7457458956933241;0.7105889982015402;0.7495399916890942;0.7437544056851125;0.8771047847836677;0.8805756187687156;0.8001894850517682;0.5653945542214126;0.5684255085169262;0.8282666239377339;0.6329632653703708;0.8723335894369177;0.9134956379120657;0.9028070174761919;0.9219957851022839;0.9225874979607617;0.36375403735622563;0.3765107929031695;0.3873713716584807;0.3502146119271645;0.7520506856616525
183;-0.6375360662571855;-0.7774185091193698;0.8063810256718162;0.9178627720973165;0.9195666320761346;0.8549818365421231;0.9589887027315437;0.716851538247981;0.7678745207828228;0.8023570199990336;0.8417426293405577;0.5812107301447582;0.8383772558317963;0.9453981138208656;1.0;0.7170221392212508;0.9409675449939552;0.9719914535261144;;0.6541968398719277;0.9578496458050135;0.9683534130496517;0.854148350051581;0.8441318950344228;0.9740461988969268;0.8841580514344123;0.7059689518966241;0.662453449258613;0.6731888604705345;0.47028077262659956;0.9629314445285244;0.72888295794117;0.28515942973023983;0.13551337656484586;0.586723992813927;-0.6113978288430965;-0.7033916354292572;0.932719472947723;-0.003685176986717403;0.41159245945599476;0.44701698311917903;0.48247304976160305;0.5462873223783181;0.5461195380486039;0.3957573154347146;0.35820364552749523;0.48884345054912304;0.5299188249737321;0.7194807533496955;0.5210755044922856;0.449770317837666;0.499481327635048;0.15955385959607465;-0.004088682907075688;0.49057939474332707;0.5849468434508108;0.4773619246551442;0.5518781878827101;0.5457564656311288;0.7758297731392322;0.7858364467552202;0.6074306480084263;0.3211631580074332;0.32444234741603706;0.63295727909101;0.3904825432773048;0.686039903882401;0.7602137139152143;0.745837517385993;0.7885719000572015;0.7899723670932068;0.1059030253717186;0.1232531430176685;0.14025852317185306;0.10747477507491772;0.5204303226147667
196;-0.8632853950575528;-0.28096094473278427;0.9667372970319433;0.8104269878200834;0.8263386306390265;0.4292374575061374;0.7592684861948427;0.9399751190721966;0.9414380519397143;0.9341491994666413;0.9198588109303767;0.9246092849797765;0.7356319804698874;0.856634445001718;0.7170221392212508;1.0;0.8410217870659503;0.7824250915106418;;0.8519464048376397;0.579373095059108;0.6002380380630603;0.922026609198961;0.9519683870602846;0.7645672622030786;0.7616238116539367;0.829203532559269;0.9951577660876306;0.8101135792946584;0.9118523790528176;0.7680550054096174;0.9637938081997989;-0.17970250460314183;-0.36739660484798986;0.11478404893814456;-0.6272614628915475;-0.6781291539890069;0.772124524789057;0.06401565048993274;0.8099729539558936;0.8183547445014745;0.8309227551728715;0.8466313007056494;0.8465089694124751;0.6781889831992829;0.838211228130329;0.761178590179371;0.7877872219270247;0.8812643603035708;0.7817133563141178;0.7210859642504648;0.8893403921400515;0.5951052456509021;0.39673542985664684;0.7388695767354733;0.6881879613801882;0.8496903643475141;0.8116179533054445;0.846476564929289;0.8267375146648259;0.8251719951447436;0.8798991911936471;0.7942914852375752;0.796888466348824;0.8853678394163772;0.8465165070970515;0.9205897182400931;0.8875177222235974;0.8738000516562398;0.8525749914174372;0.8506245815353484;0.5730500410709146;0.5808567032293861;0.5888665608135085;0.5673620770777791;0.8340122394566533
197;-0.7346759386671984;-0.6925996691298177;0.910544528549866;0.8965219857519191;0.9110335730291167;0.7204469929627948;0.9195747476960087;0.7933894292915941;0.8326688320102952;0.8580224690458174;0.8810898718035308;0.7169986543863799;0.7538846742852324;0.9572817065955797;0.9409675449939552;0.8410217870659503;1.0;0.9820495189747197;;0.7139717830342333;0.8854916490484867;0.9084052073663457;0.9490193368969837;0.9423700109281226;0.9747991771772014;0.8421749246783339;0.7267726782806698;0.7894288174546326;0.7487812650576594;0.6641816327216543;0.980345719339071;0.8645910541123712;0.12935070547101374;-0.09867462753457269;0.43196647652812387;-0.7395042238145364;-0.7974915374593813;0.8880958018510057;-0.14325256697904154;0.5876563184142441;0.6525622620776083;0.6902153702924261;0.7481075789082137;0.7522010592540921;0.5580731835908759;0.5286594302644086;0.6704198080336267;0.7038241064029698;0.8335987254601974;0.6968001362493371;0.6559640827549406;0.68539754566427;0.3870798625807297;0.18398063589493965;0.6792709867579315;0.7272776619409386;0.6939949949627466;0.7633990402446292;0.7518395584205463;0.8736722963016853;0.879341350472072;0.7559016418385388;0.48264500956305656;0.4867998353059261;0.7820440592245375;0.6106845802969691;0.8387282175341348;0.8777722011895294;0.8724960611655257;0.8893845361217041;0.8893668736948029;0.2870656052235462;0.30336095413004466;0.31791495296292394;0.27892740776748637;0.6661654097036444
198;-0.7051304873264798;-0.7575612187192186;0.8549151648843821;0.9318440378733449;0.9350384784071499;0.8066362691971707;0.9577195680844562;0.7572756621810217;0.8034267077207079;0.8342580144136026;0.8651133681107435;0.6350090720158851;0.7850256306935888;0.9578119147335147;0.9719914535261144;0.7824250915106418;0.9820495189747197;1.0;;0.6452847302687046;0.9297014966727598;0.946434629633027;0.9110442911792529;0.9048000548593703;0.9974498666994432;0.8734644708556621;0.6930117688489771;0.7259134645552711;0.6760656667577678;0.5594368075448635;0.9950861113528636;0.7951952493557108;0.2666503167239905;0.04991361776715224;0.5571827062222785;-0.652601739883303;-0.7417565765916;0.9227735235563872;-0.04569695654899341;0.47568669372254274;0.5411671951561088;0.5841752893620548;0.6556252493736556;0.6602361117693992;0.4741495402935729;0.415918309258614;0.5918824267740265;0.6296801383014676;0.784066442961108;0.6216723062686463;0.5849209738260269;0.6107366686390582;0.2604008972273038;0.07995174037335137;0.5990008498493516;0.6903237722210082;0.6003760442810767;0.6845143454870446;0.6598337506968911;0.823287933339776;0.8318200997774075;0.700846901568575;0.379560596528022;0.3838085397004557;0.7245790173335863;0.4976850930393763;0.7786929500821315;0.8434561573651838;0.8369131445950658;0.8719133846064839;0.873003506533217;0.17151722390153049;0.18925278795690748;0.20545438263583488;0.16217529332208352;0.5863130213895815
199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201;-0.7963757146059717;-0.10964778993798234;0.8668932951089048;0.6205256971755606;0.6449990929881717;0.3352488602295163;0.620579966202799;0.8144839873909894;0.8154475384327006;0.8032192655490392;0.7985504637063187;0.9067439831399119;0.6699010127047248;0.7903201322333444;0.6541968398719277;0.8519464048376397;0.7139717830342333;0.6452847302687046;;1.0;0.5533138058473975;0.5645761425237811;0.8202524684449849;0.8093707899972677;0.6301131193278094;0.6598582622802401;0.8908022496895733;0.8593883592028492;0.8756660032834186;0.8495068571564259;0.6227377141566702;0.8841720137896701;-0.44785826027035436;-0.30775368870033293;-0.1392839776519673;-0.5817832711172015;-0.49980944587354165;0.6567303133092287;-0.11815304263675801;0.6767628793565027;0.6589070304274375;0.6652524012860435;0.6649089156971436;0.6606212740296037;0.6040479641814962;0.8558410462618831;0.6607490665365464;0.6892991561560087;0.8008639301633235;0.6833092166309221;0.6252175034974716;0.7705807452683189;0.5665955066618802;0.44319509000648205;0.6015459669393743;0.6287679966333953;0.7128586580842071;0.625353398703035;0.6606416943670984;0.7161306411084787;0.7040601909798546;0.8403534890069417;0.8639876515385553;0.8639457013945988;0.8381351904296426;0.7537580841832144;0.7739470527369096;0.7478380379298853;0.7474996467600016;0.6998725655197156;0.6978304942501052;0.5672170626816058;0.5671564208740644;0.5676876697050632;0.5579106310069449;0.8425467839722022
