Subsistema,Week of Data Escala de Tempo 1 CMO,Data do Incio da Semana Din Instante CMO,Data Escala de Tempo 1 CMO,Período Exibido CMO,Texto Data do Incio da Semana Din Instante CMO,Média Semanal
Sudeste/Centro-Oeste,10/08/2016,10/14/2016,10/08/2016,Semana Operativa, a ,203.91
Sudeste/Centro-Oeste,10/15/2016,10/21/2016,10/15/2016,Semana Operativa, a ,184.01
Sudeste/Centro-Oeste,10/22/2016,10/28/2016,10/22/2016,Semana Operativa, a ,152.66
Sudeste/Centro-Oeste,10/29/2016,11/04/2016,10/29/2016,Semana Operativa, a ,221.9
Sudeste/Centro-Oeste,11/05/2016,11/11/2016,11/05/2016,Semana Operativa, a ,224.4
Sudeste/Centro-Oeste,11/12/2016,11/18/2016,11/12/2016,Semana Operativa, a ,216.98
Sudeste/Centro-Oeste,11/19/2016,11/25/2016,11/19/2016,Semana Operativa, a ,190.96
Sudeste/Centro-Oeste,11/26/2016,12/02/2016,11/26/2016,Semana Operativa, a ,172.88
Sudeste/Centro-Oeste,12/03/2016,12/09/2016,12/03/2016,Semana Operativa, a ,127.39
Sudeste/Centro-Oeste,12/10/2016,12/16/2016,12/10/2016,Semana Operativa, a ,152.36
Sudeste/Centro-Oeste,12/17/2016,12/23/2016,12/17/2016,Semana Operativa, a ,134.77
Sudeste/Centro-Oeste,12/24/2016,12/30/2016,12/24/2016,Semana Operativa, a ,107.11
Sudeste/Centro-Oeste,12/31/2016,01/06/2017,12/31/2016,Semana Operativa, a ,133.6399
Sudeste/Centro-Oeste,01/07/2017,01/13/2017,01/07/2017,Semana Operativa, a ,80.42
Sudeste/Centro-Oeste,01/14/2017,01/20/2017,01/14/2017,Semana Operativa, a ,109.76
Sudeste/Centro-Oeste,01/21/2017,01/27/2017,01/21/2017,Semana Operativa, a ,110.21
Sudeste/Centro-Oeste,01/28/2017,02/03/2017,01/28/2017,Semana Operativa, a ,80.44
Sudeste/Centro-Oeste,02/04/2017,02/10/2017,02/04/2017,Semana Operativa, a ,94.58
Sudeste/Centro-Oeste,02/11/2017,02/17/2017,02/11/2017,Semana Operativa, a ,103.09
Sudeste/Centro-Oeste,02/18/2017,02/24/2017,02/18/2017,Semana Operativa, a ,113.1
Sudeste/Centro-Oeste,02/25/2017,03/03/2017,02/25/2017,Semana Operativa, a ,169.28
Sudeste/Centro-Oeste,03/04/2017,03/10/2017,03/04/2017,Semana Operativa, a ,169.23
Sudeste/Centro-Oeste,03/11/2017,03/17/2017,03/11/2017,Semana Operativa, a ,222.29
Sudeste/Centro-Oeste,03/18/2017,03/24/2017,03/18/2017,Semana Operativa, a ,204.12
