month,value
December 2011,35128.04676075
November 2011,34742.62226389
October 2011,34539.98196237
September 2011,34834.43644444
August 2011,34757.33909946
July 2011,33097.3949328
June 2011,32613.02861111
May 2011,33298.77739247
April 2011,34864.42802778
March 2011,34960.89962786
February 2011,37140.59492738
January 2011,34868.97982527
December 2010,34495.10362903
November 2010,33427.03229167
October 2010,33160.57775538
September 2010,34035.60838889
August 2010,32875.82623656
July 2010,32437.61037634
June 2010,31891.99583333
May 2010,32240.64502688
April 2010,32864.08452778
March 2010,34891.03103495
February 2010,35293.77572917
January 2010,33574.70875512
December 2009,32458.13728495
November 2009,33636.32336111
October 2009,31928.34540323
September 2009,31984.10975667
August 2009,30694.90920699
July 2009,30106.69580645
June 2009,29069.17641667
May 2009,29781.37087366
April 2009,30176.03961111
March 2009,32278.24798387
February 2009,31328.50043155
January 2009,29582.48946237
December 2008,28845.63350806
November 2008,30936.54510833
October 2008,32914.4445672
September 2008,32087.30625
August 2008,32320.3521371
July 2008,31335.82005376
June 2008,31221.21134722
May 2008,30832.63399194
April 2008,32252.52808333
March 2008,32245.93611559
February 2008,31503.22244971
January 2008,31190.80647043
December 2007,31206.31552419
November 2007,31251.06023611
October 2007,31967.14805108
September 2007,31166.00001111
August 2007,30566.27726344
July 2007,29573.75717742
June 2007,29542.48468056
May 2007,29881.48794355
April 2007,31350.05961111
March 2007,32676.08855645
February 2007,30970.75052083
January 2007,29960.04143817
December 2006,29725.43664651
November 2006,29796.29875
October 2006,29255.40004704
September 2006,29081.09865417
August 2006,29679.7881586
July 2006,28707.0993629
June 2006,28456.18194444
May 2006,28369.73352151
April 2006,28994.79536111
March 2006,30646.27965054
February 2006,30149.90831548
January 2006,29410.09740591
December 2005,28163.79838172
November 2005,28312.46225833
October 2005,28991.801
September 2005,28242.86740972
August 2005,28499.19848932
July 2005,27217.23512095
June 2005,27921.09989718
May 2005,27852.86724511
April 2005,29611.05501377
March 2005,29329.8892076
February 2005,28324.55217286
January 2005,27829.38264771
December 2004,27695.44342731
November 2004,28156.10778028
October 2004,27771.49564556
September 2004,28426.38831408
August 2004,27178.62867073
July 2004,26657.82241229
June 2004,26579.44844942
May 2004,26606.2961289
April 2004,27323.33718104
March 2004,27520.84330676
February 2004,26801.95109207
January 2004,26275.93167958
December 2003,26662.93697588
November 2003,26804.53481211
October 2003,26829.76115583
September 2003,26242.62583297
August 2003,25465.21360225
July 2003,25308.79012101
June 2003,25326.08679207
May 2003,25354.74973135
April 2003,26235.74610292
March 2003,26389.86064531
February 2003,27507.62498562
January 2003,25693.74368213
December 2002,25636.16088679
November 2002,26383.89659765
October 2002,27126.00813181
September 2002,24970.46791698
August 2002,25149.89240725
July 2002,24237.84665085
June 2002,24626.89848563
May 2002,24774.47123648
April 2002,25772.85000018
March 2002,25133.20122297
February 2002,23452.70220191
January 2002,22719.87901889
December 2001,21349.00794355
November 2001,21504.02511111
October 2001,20952.31772715
September 2001,20646.84029167
August 2001,20395.28525538
July 2001,19852.42819892
June 2001,20512.82373611
May 2001,25055.13888441
April 2001,27213.965
March 2001,27824.66299731
February 2001,27539.32787202
January 2001,26625.97615591
December 2000,26041.52919355
November 2000,26253.36291667
October 2000,27077.4840755
September 2000,26045.44756944
August 2000,26006.38830645
July 2000,25299.99731183
June 2000,24734.85180556
May 2000,25457.51612903
April 2000,25352.02611111
March 2000,25470.85502418
February 2000,25588.78850575
January 2000,24463.18615591
December 1999,24812.90944892
November 1999,24597.58638889
October 1999,24847.33456171
September 1999,25272.97444444
August 1999,24895.36465054
July 1999,24581.0938172
June 1999,24407.39402778
May 1999,24178.69561828
April 1999,24753.89075
March 1999,25243.66787634
February 1999,24660.84255952
January 1999,23340.17822581
