MAX MIN 1 ENAS Simp 4,Measure Names,MIN MAX 1 ENAS Simp 4,Month of Data Escala de Tempo 1 ENAS Simp 4,Data do Incio da Semana Din Instante ENAS Simp 4,Data Escala de Tempo 1 ENAS Simp 4,Período Exibido ENAS,Subsistema,Texto Data Incio da Semana Din Instante ENAS,Selecione Tipo de ENAS Simp 4
9/7/2014,Selecione Tipo de ENAS Simp 4,8/26/2014,September 2014,,9/1/2014 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,14425
8/7/2014,Selecione Tipo de ENAS Simp 4,7/26/2014,August 2014,,8/1/2014 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,15011
7/7/2014,Selecione Tipo de ENAS Simp 4,6/25/2014,July 2014,,7/1/2014 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,17830
6/7/2014,Selecione Tipo de ENAS Simp 4,5/26/2014,June 2014,,6/1/2014 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,25637
5/7/2014,Selecione Tipo de ENAS Simp 4,4/25/2014,May 2014,,5/1/2014 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,22490
4/7/2014,Selecione Tipo de ENAS Simp 4,3/26/2014,April 2014,,4/1/2014 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,33430
3/7/2014,Selecione Tipo de ENAS Simp 4,2/23/2014,March 2014,,3/1/2014 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,34618
2/7/2014,Selecione Tipo de ENAS Simp 4,1/26/2014,February 2014,,2/1/2014 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,22933
1/7/2014,Selecione Tipo de ENAS Simp 4,12/26/2013,January 2014,,1/1/2014 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,30017
12/7/2013,Selecione Tipo de ENAS Simp 4,11/25/2013,December 2013,,12/1/2013 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,42072
11/7/2013,Selecione Tipo de ENAS Simp 4,10/26/2013,November 2013,,11/1/2013 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,23994
10/7/2013,Selecione Tipo de ENAS Simp 4,9/25/2013,October 2013,,10/1/2013 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,25144
9/7/2013,Selecione Tipo de ENAS Simp 4,8/26/2013,September 2013,,9/1/2013 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,17956
8/7/2013,Selecione Tipo de ENAS Simp 4,7/26/2013,August 2013,,8/1/2013 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,20192
7/7/2013,Selecione Tipo de ENAS Simp 4,6/25/2013,July 2013,,7/1/2013 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,32104
6/7/2013,Selecione Tipo de ENAS Simp 4,5/26/2013,June 2013,,6/1/2013 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,40178
